,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,XSP241115C00270000,2024-09-20 12:50:25 EDT-0400,270.0,302.18,316.12,318.33,0.0,0.0,1.0,171,1.2919957275390623,True,REGULAR,USD,2024-11-15
1,XSP241115C00280000,2024-03-21 01:32:08 EDT-0400,280.0,251.83,211.29,235.29,0.0,0.0,20.0,101,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
2,XSP241115C00285000,2024-09-23 10:20:21 EDT-0400,285.0,288.77,301.19,303.4,0.0,0.0,1.0,0,1.2251015307617186,True,REGULAR,USD,2024-11-15
3,XSP241115C00290000,2024-03-21 08:44:34 EDT-0400,290.0,242.53,201.73,225.73,0.0,0.0,30.0,31,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
4,XSP241115C00295000,2024-09-19 09:35:59 EDT-0400,295.0,277.19,291.23,293.44,0.0,0.0,,2,1.1796916015624999,True,REGULAR,USD,2024-11-15
5,XSP241115C00300000,2024-09-26 13:37:45 EDT-0400,300.0,275.2,286.26,288.47,0.0,0.0,11.0,16,1.1594280310058593,True,REGULAR,USD,2024-11-15
6,XSP241115C00350000,2023-11-20 09:40:16 EST-0500,350.0,119.07,132.0,148.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
7,XSP241115C00400000,2024-10-04 15:45:23 EDT-0400,400.0,176.75,186.78,188.99,0.0,0.0,1.0,1,0.762697685546875,True,REGULAR,USD,2024-11-15
8,XSP241115C00403000,2024-03-15 14:51:25 EDT-0400,403.0,123.89,114.97,130.97,0.0,0.0,,24,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
9,XSP241115C00411000,2024-03-11 10:27:12 EDT-0400,411.0,114.43,112.0,127.87,0.0,0.0,19.0,19,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
