,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,XSP241115C00270000,2024-09-20 12:50:25 EDT-0400,270.0,302.18,316.12,318.33,0.0,0.0,1.0,171,1.6040058862304685,True,REGULAR,USD,2024-11-15
1,XSP241115C00280000,2024-03-21 01:32:08 EDT-0400,280.0,251.83,211.29,235.29,0.0,0.0,20.0,101,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
2,XSP241115C00285000,2024-09-23 10:20:21 EDT-0400,285.0,288.77,300.24,300.44,0.0,0.0,1.0,0,1.0908248583984377,True,REGULAR,USD,2024-11-15
3,XSP241115C00290000,2024-03-21 08:44:34 EDT-0400,290.0,242.53,201.73,225.73,0.0,0.0,30.0,31,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
4,XSP241115C00295000,2024-09-19 09:35:59 EDT-0400,295.0,277.19,291.23,293.44,0.0,0.0,,2,1.452273246459961,True,REGULAR,USD,2024-11-15
5,XSP241115C00300000,2024-09-26 13:37:45 EDT-0400,300.0,275.2,285.3,285.5,0.0,0.0,11.0,0,1.0478563232421876,True,REGULAR,USD,2024-11-15
6,XSP241115C00350000,2023-11-20 09:40:16 EST-0500,350.0,119.07,132.0,148.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
7,XSP241115C00355000,2024-10-14 12:14:57 EDT-0400,355.0,231.83,230.53,230.73,0.0,0.0,,0,0.86914193359375,True,REGULAR,USD,2024-11-15
8,XSP241115C00360000,2024-10-18 11:58:32 EDT-0400,360.0,227.0,225.55,225.75,0.0,0.0,2.0,0,0.851563984375,True,REGULAR,USD,2024-11-15
9,XSP241115C00390000,2024-10-18 15:16:22 EDT-0400,390.0,197.86,195.69,195.89,0.0,0.0,4.0,0,0.7509790527343749,True,REGULAR,USD,2024-11-15
10,XSP241115C00395000,2024-10-14 11:47:34 EDT-0400,395.0,191.66,190.72,190.92,0.0,0.0,,0,0.7348659326171875,True,REGULAR,USD,2024-11-15
11,XSP241115C00400000,2024-10-04 15:45:23 EDT-0400,400.0,176.75,185.74,185.94,0.0,0.0,1.0,0,0.7175321215820312,True,REGULAR,USD,2024-11-15
12,XSP241115C00403000,2024-03-15 14:51:25 EDT-0400,403.0,123.89,114.97,130.97,0.0,0.0,,24,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
13,XSP241115C00405000,2024-10-15 13:10:04 EDT-0400,405.0,180.14,180.77,180.97,0.0,0.0,,0,0.7014190014648438,True,REGULAR,USD,2024-11-15
14,XSP241115C00410000,2024-10-15 13:10:10 EDT-0400,410.0,175.21,175.79,175.99,0.0,0.0,,0,0.6838410522460938,True,REGULAR,USD,2024-11-15
15,XSP241115C00411000,2024-03-11 10:27:12 EDT-0400,411.0,114.43,112.0,127.87,0.0,0.0,19.0,19,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
16,XSP241115C00415000,2024-10-09 16:00:39 EDT-0400,415.0,166.3,170.82,171.02,0.0,0.0,1.0,0,0.6674837939453127,True,REGULAR,USD,2024-11-15
17,XSP241115C00416000,2024-03-11 10:25:09 EDT-0400,416.0,109.77,114.49,115.65,0.0,0.0,19.0,19,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
18,XSP241115C00420000,2024-07-22 10:51:12 EDT-0400,420.0,142.55,144.93,146.17,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
19,XSP241115C00425000,2024-10-16 12:03:29 EDT-0400,425.0,159.23,160.88,161.08,0.0,0.0,2.0,0,0.6347692773437501,True,REGULAR,USD,2024-11-15
20,XSP241115C00429000,2024-03-12 10:04:41 EDT-0400,429.0,101.74,101.39,102.48,0.0,0.0,,19,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
21,XSP241115C00430000,2024-09-16 10:10:01 EDT-0400,430.0,136.84,153.51,153.77,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
22,XSP241115C00433000,2024-08-30 11:52:35 EDT-0400,433.0,131.93,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
23,XSP241115C00434000,2024-09-03 11:02:14 EDT-0400,434.0,127.76,137.87,145.79,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
24,XSP241115C00436000,2023-11-08 13:36:13 EST-0500,436.0,39.9,0.0,0.0,0.0,0.0,,80,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
25,XSP241115C00438000,2024-03-20 14:31:05 EDT-0400,438.0,98.35,71.65,81.65,0.0,0.0,,18,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
26,XSP241115C00445000,2024-08-30 11:52:35 EDT-0400,445.0,120.23,0.0,0.0,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
27,XSP241115C00446000,2024-04-09 11:18:52 EDT-0400,446.0,89.37,88.49,89.09,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
28,XSP241115C00447000,2024-10-18 14:01:09 EDT-0400,447.0,141.08,139.02,139.22,0.0,0.0,1.0,0,0.5625043750000001,True,REGULAR,USD,2024-11-15
29,XSP241115C00450000,2024-03-14 10:37:49 EDT-0400,450.0,85.2,75.82,85.82,0.0,0.0,2.0,140,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
30,XSP241115C00455000,2024-01-25 14:46:47 EST-0500,455.0,57.95,0.0,0.0,0.0,0.0,1.0,165,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
31,XSP241115C00460000,2024-10-08 13:01:41 EDT-0400,460.0,116.74,126.11,126.31,0.0,0.0,2.0,0,0.5197801928710937,True,REGULAR,USD,2024-11-15
32,XSP241115C00465000,2024-09-20 15:33:30 EDT-0400,465.0,109.0,122.25,124.45,0.0,0.0,1.0,1,0.6317785845947266,True,REGULAR,USD,2024-11-15
33,XSP241115C00470000,2024-10-18 15:28:02 EDT-0400,470.0,118.23,116.19,116.39,0.0,0.0,1.0,0,0.4950001672363281,True,REGULAR,USD,2024-11-15
34,XSP241115C00475000,2024-10-18 15:28:02 EDT-0400,475.0,113.28,111.23,111.42,0.0,0.0,1.0,0,0.47730014892578126,True,REGULAR,USD,2024-11-15
