,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,AAPL241115C00005000,2024-07-11 09:50:34 EDT-0400,5.0,225.72,209.9,212.4,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
1,AAPL241115C00010000,2024-10-16 13:20:11 EDT-0400,10.0,220.8,225.65,226.25,0.0,0.0,,10,4.7500040624999995,True,REGULAR,USD,2024-11-15
2,AAPL241115C00015000,2024-10-10 10:25:18 EDT-0400,15.0,212.95,220.65,221.65,0.0,0.0,,36,4.7382853271484375,True,REGULAR,USD,2024-11-15
3,AAPL241115C00020000,2024-10-07 14:48:39 EDT-0400,20.0,202.6,215.65,216.6,0.0,0.0,,1,4.152348559570314,True,REGULAR,USD,2024-11-15
4,AAPL241115C00025000,2024-10-10 10:25:18 EDT-0400,25.0,203.0,210.65,211.75,0.0,0.0,,71,3.8906252734375,True,REGULAR,USD,2024-11-15
5,AAPL241115C00030000,2024-10-17 10:24:10 EDT-0400,30.0,202.45,205.7,206.65,0.0,0.0,,13,3.525391811523437,True,REGULAR,USD,2024-11-15
6,AAPL241115C00040000,2024-10-10 10:25:18 EDT-0400,40.0,188.05,195.7,196.65,0.0,0.0,,4,3.027346181640625,True,REGULAR,USD,2024-11-15
7,AAPL241115C00050000,2024-06-28 13:39:09 EDT-0400,50.0,164.79,168.05,169.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
8,AAPL241115C00055000,2024-03-08 09:30:05 EST-0500,55.0,115.75,114.9,117.45,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
9,AAPL241115C00065000,2024-04-26 14:50:40 EDT-0400,65.0,106.47,126.05,126.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
10,AAPL241115C00070000,2024-09-06 10:51:24 EDT-0400,70.0,152.35,156.8,157.4,0.0,0.0,20.0,10,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
11,AAPL241115C00075000,2024-05-29 11:07:04 EDT-0400,75.0,118.52,139.75,140.55,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
12,AAPL241115C00080000,2024-08-28 10:40:06 EDT-0400,80.0,150.1,148.75,149.5,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
