,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,AAPL241115C00005000,2024-07-11 09:50:34 EDT-0400,5.0,225.72,209.9,212.4,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
1,AAPL241115C00015000,2024-10-10 10:25:18 EDT-0400,15.0,212.95,219.8,220.85,0.0,0.0,,36,4.546879316406249,True,REGULAR,USD,2024-11-15
2,AAPL241115C00020000,2024-10-07 14:48:39 EDT-0400,20.0,202.6,214.25,215.8,0.0,0.0,,1,3.031252421875,True,REGULAR,USD,2024-11-15
3,AAPL241115C00025000,2024-10-10 10:25:18 EDT-0400,25.0,203.0,209.2,210.9,0.0,0.0,,71,2.9218776953125003,True,REGULAR,USD,2024-11-15
4,AAPL241115C00040000,2024-10-10 10:25:18 EDT-0400,40.0,188.05,194.3,195.85,0.0,0.0,,4,2.4062539843749997,True,REGULAR,USD,2024-11-15
5,AAPL241115C00050000,2024-06-28 13:39:09 EDT-0400,50.0,164.79,168.05,169.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
6,AAPL241115C00055000,2024-03-08 09:30:05 EST-0500,55.0,115.75,114.9,117.45,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
7,AAPL241115C00065000,2024-04-26 14:50:40 EDT-0400,65.0,106.47,126.05,126.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
8,AAPL241115C00070000,2024-09-06 10:51:24 EDT-0400,70.0,152.35,156.8,157.4,0.0,0.0,20.0,10,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
9,AAPL241115C00075000,2024-05-29 11:07:04 EDT-0400,75.0,118.52,139.75,140.55,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
10,AAPL241115C00080000,2024-08-28 10:40:06 EDT-0400,80.0,150.1,148.75,149.5,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
11,AAPL241115C00085000,2024-09-16 14:55:12 EDT-0400,85.0,131.75,146.9,147.25,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
12,AAPL241115C00090000,2024-10-07 15:55:43 EDT-0400,90.0,132.15,145.0,146.0,0.0,0.0,6.0,15,1.6933609082031251,True,REGULAR,USD,2024-11-15
13,AAPL241115C00095000,2024-09-24 12:56:38 EDT-0400,95.0,132.6,139.4,141.1,0.0,0.0,5.0,19,1.453127734375,True,REGULAR,USD,2024-11-15
14,AAPL241115C00100000,2024-10-14 11:31:36 EDT-0400,100.0,135.45,135.05,136.05,5.399994,4.1522446,2.0,20,1.5439475927734374,True,REGULAR,USD,2024-11-15
15,AAPL241115C00105000,2024-10-16 13:20:11 EDT-0400,105.0,126.1,130.05,130.5,0.0,0.0,7.0,28,1.3203158984374999,True,REGULAR,USD,2024-11-15
16,AAPL241115C00110000,2024-10-16 15:43:07 EDT-0400,110.0,122.11,125.05,126.1,0.0,0.0,50.0,298,1.396487392578125,True,REGULAR,USD,2024-11-15
17,AAPL241115C00115000,2024-10-11 15:55:00 EDT-0400,115.0,113.3,120.1,120.75,0.0,0.0,1.0,399,1.2607458837890624,True,REGULAR,USD,2024-11-15
18,AAPL241115C00120000,2024-10-11 15:08:06 EDT-0400,120.0,109.2,115.1,115.55,0.0,0.0,3.0,36,1.1455120849609375,True,REGULAR,USD,2024-11-15
19,AAPL241115C00125000,2024-10-11 10:51:18 EDT-0400,125.0,103.6,110.1,110.5,0.0,0.0,30.0,245,1.0693405908203126,True,REGULAR,USD,2024-11-15
20,AAPL241115C00130000,2024-10-18 12:57:29 EDT-0400,130.0,105.95,105.15,105.55,10.5,11.0005245,1.0,271,1.0332079589843752,True,REGULAR,USD,2024-11-15
21,AAPL241115C00135000,2024-10-10 10:36:41 EDT-0400,135.0,93.3,100.15,100.6,0.0,0.0,1.0,743,0.98437515625,True,REGULAR,USD,2024-11-15
22,AAPL241115C00140000,2024-10-18 11:00:28 EDT-0400,140.0,94.95,95.15,95.6,2.4300003,2.6264596,22.0,643,0.9267585449218749,True,REGULAR,USD,2024-11-15
23,AAPL241115C00145000,2024-10-15 13:34:52 EDT-0400,145.0,89.49,90.2,90.95,0.0,0.0,2.0,811,0.9345709667968749,True,REGULAR,USD,2024-11-15
24,AAPL241115C00150000,2024-10-18 13:07:08 EDT-0400,150.0,86.12,85.2,85.95,3.25,3.9218051,38.0,574,0.8774426318359375,True,REGULAR,USD,2024-11-15
25,AAPL241115C00155000,2024-10-16 15:54:56 EDT-0400,155.0,77.06,80.25,80.7,0.0,0.0,51.0,1115,0.7949239257812499,True,REGULAR,USD,2024-11-15
26,AAPL241115C00160000,2024-10-18 10:47:52 EDT-0400,160.0,75.2,75.25,75.6,3.119995,4.328517,3.0,1880,0.7280300634765625,True,REGULAR,USD,2024-11-15
27,AAPL241115C00165000,2024-10-18 15:58:43 EDT-0400,165.0,70.55,70.3,70.85,2.9000015,4.2867723,16.0,1154,0.7148466015625,True,REGULAR,USD,2024-11-15
28,AAPL241115C00170000,2024-10-18 11:36:52 EDT-0400,170.0,65.41,65.3,65.7,2.5100021,3.9904644,35.0,2059,0.64648791015625,True,REGULAR,USD,2024-11-15
29,AAPL241115C00175000,2024-10-18 15:15:35 EDT-0400,175.0,60.98,60.35,60.7,2.880001,4.956973,157.0,1862,0.6025430371093752,True,REGULAR,USD,2024-11-15
30,AAPL241115C00180000,2024-10-18 14:42:54 EDT-0400,180.0,56.12,55.45,55.8,3.6699982,6.9971366,19.0,4499,0.5727581787109376,True,REGULAR,USD,2024-11-15
31,AAPL241115C00185000,2024-10-18 15:34:17 EDT-0400,185.0,50.85,50.5,51.0,2.8899994,6.0258536,154.0,3625,0.543949873046875,True,REGULAR,USD,2024-11-15
